刺蛾	いらが
刺鉄	さすが
刺青	いれずみ
刻刻	ぎざぎざ
剃刀	かみそり
前栽	センザイ
前胡	のだけ
前褌	まえみつ
剖判	ほうはん
剛色斯	カンザス
剣橋	ケンブリッジ
剣魚	ぎんざめ
剥る	へずる
剪刀	はさみ
剪秋羅	せんのう
副寺・副司	ふうす
割符	さいふ
割賦	くばりぶぎょう
力勉める	つとめる
力瘤	ちからこぶ
加之	しかのみならず
加利福尼	カリフォルニア
加刺多	カラット
加加阿	カカオ
加奈陀	カナダ
加密爾列	カミルレ
加州	カリフォルニア
加布爾	カブール
加拉架	カラカス
加拿列	カナリア
加比丹	カピタン
加爾各搭	カルカッタ
加特力	カトリック
加答児	カタル
加臘多	カラット
助太刀	すけだち
助柱	すけ
努努	ゆめゆめ
劬る	いたわる
労き	いたずき
勃労寧	ブラウニング
勃勃	むくむく
勃牙利	ブルガリア
勇魚	いさな
勒布朗	ルブラン
勒魚	しいら
勘事	こうじ
勘解由使	かげゆし
勝鬨	かちどき
勢み	はずみ
勢車	はずみぐるま
勺旁	ショパン
勾欄	てすり
勾玉	まがたま
勿告藻	なのりそ
勿忘草	わすれなぐさ
勿来薬	なこそぐすり
勿来関	なこそのせき
包子	パオズ
包飯	つつみいい
匈牙利	ハンガリー
匕首	あいくち
化粧	けわい
化野	あだしの
化香樹	のぐるみ
北明翰	バーミンガム
北閔	ブレーメン
北風	あなじ・きた
匙笥	かいげ
匣鉢	さや
匹如身	するすみ
区区	まちまち
十二雀	じゅうにから
十八番	おはこ
十六夜	いざよい
十六武蔵	ジュウロクむさし
十大功労	ひいらぎなんてん
十姉妹	じゅうしまつ
十寸鏡	ますかがみ
十日夜	とおかんや
十柱球	ボーリング
十脚	さくらえび
十重二十重	とえはたえ
十露盤	そろばん
千万	ちよろず
千五百秋	ちいほあき
千入	ちしお
千尋	ちひろ
千屈菜	みそはぎ
千根	ちもと
千歳	ちとせ
千種	ちぐさ
千葉山梔子	こくちなし
千金藤	はすのはかずら
升麻	うたかぐさ
半使	ハンス
半月	はにわり
半色	はしたいろ
半被	はっぴ
半辺蓮	みぞかくし
半辺蚶	いたやがい
半銭	きなか
半頭	はつぶり
半首	はつぶり／はつむり
卓別麟	チャップリン
卓子	テーブル
卓球	ピンポン
卓袱台	ちゃぶダイ
南五味子	さねかずら
南京黄櫨	なんきんはぜ
南天燭	なんてん
南旺府	プノンペン
南森	ナンセン
南殿	なでん
南燭	しゃしゃんぼ
南瓜	かぼちゃ
南蛮煙管	なんばんぎせる
南謨	なも
南風	はえ
単寧	タンニン
単皮	たび
単衣	ひとえ
博士	はかせ
博奕	ばくち
博打	ばくち
卜兆	うらかた
卜書	うらぶみ
卮子	くちなし
卯木	うつぎ
印度	インド
印籠決	いんろうじゃくり
危宿	うみやめぼし
厄勒祭亜	ギリシャ
厄日多	エジプト
厄瓜多	エクアドル
厚司	あつし
厚朴	ほおのき
厚皮香	もっこく
厥陰病	けっちんびょう
厳器	からくしげ
去なす	いなす
去声	きょしょう
去年	こぞ
参宿	からすきぼし
又従兄弟	またいとこ
又従姉妹	またいとこ
